  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.68393520            0.00000000        5261.47657561       -91320.30017192       -86058.82359631 
  5.0000e-15           98.82433408            0.00000000        5216.10546169      -136873.96590699      -131657.86044531 
  1.0000e-14           97.41657222            0.00000000        5141.80155304      -182278.87262954      -177137.07107649 
  1.5000e-14           95.48544903            0.00000000        5039.87380105      -227479.71307270      -222439.83927164 
  2.0000e-14           93.06556263            0.00000000        4912.14834939      -272424.82810987      -267512.67976048 
  2.5000e-14           90.20176024            0.00000000        4760.99230663      -317067.28863794      -312306.29633132 
  3.0000e-14           86.94955760            0.00000000        4589.33588076      -361366.02271899      -356776.68683823 
  3.5000e-14           83.37538796            0.00000000        4400.68552521      -405286.97023381      -400886.28470860 
  4.0000e-14           79.55651151            0.00000000        4199.11915474      -448804.22935535      -444605.11020061 
  4.5000e-14           75.58039535            0.00000000        3989.25342296      -491901.13899332      -487911.88557036 
  5.0000e-14           71.54337500            0.00000000        3776.17307082      -534571.22114614      -530795.04807532 
  5.5000e-14           67.54844123            0.00000000        3565.31411563      -576818.89031569      -573253.57620007 
  6.0000e-14           63.70207351            0.00000000        3362.29671232      -618659.82845213      -615297.53173981 
  6.5000e-14           60.11016458            0.00000000        3172.71004875      -660120.92833556      -656948.21828681 
  7.0000e-14           56.87324088            0.00000000        3001.86006951      -701239.72980762      -698237.86973811 
  7.5000e-14           54.08135103            0.00000000        2854.49968465      -742063.31280795      -739208.81312330 
  8.0000e-14           51.80912907            0.00000000        2734.56819753      -782646.66520470      -779912.09700717 
  8.5000e-14           50.11159520            0.00000000        2644.96966097      -823050.60361635      -820405.63395538 
  9.0000e-14           49.02120678            0.00000000        2587.41722678      -863339.38033959      -860751.96311281 
  9.5000e-14           48.54651723            0.00000000        2562.36235763      -903578.14776559      -901015.78540796 
  1.0000e-13           48.67257374            0.00000000        2569.01582082      -943830.46561612      -941261.44979531 
  1.0500e-13           49.36294299            0.00000000        2605.45460705      -984156.02430539      -981550.56969834 
  1.1000e-13           50.56305203            0.00000000        2668.79827019     -1024608.72413641     -1021939.92586621 
  1.1500e-13           52.20440815            0.00000000        2755.43165575     -1065235.20331941     -1062479.77166366 
  1.2000e-13           54.20922624            0.00000000        2861.24914201     -1106073.85750037     -1103212.60835836 
  1.2500e-13           56.49503309            0.00000000        2981.89766107     -1147154.34768022     -1144172.45001915 
  1.3000e-13           58.97890733            0.00000000        3113.00049223     -1188497.55726389     -1185384.55677166 
  1.3500e-13           61.58112366            0.00000000        3250.34960727     -1230115.93457702     -1226865.58496975 
  1.4000e-13           64.22807627            0.00000000        3390.05997390     -1272014.14414045     -1268624.08416655 
  1.4500e-13           66.85444584            0.00000000        3528.68393562     -1314189.94640495     -1310661.26246933 
  1.5000e-13           69.40464059            0.00000000        3663.28726836     -1356635.22901975     -1352971.94175139 
  1.5500e-13           71.83358412            0.00000000        3791.49076962     -1399337.12056104     -1395545.62979142 
  1.6000e-13           74.10694637            0.00000000        3911.48244332     -1442279.12787994     -1438367.64543662 
  1.6500e-13           76.20092083            0.00000000        4022.00574418     -1485442.24922993     -1481420.24348575 
  1.7000e-13           78.10164854            0.00000000        4122.32917459     -1528806.02596538     -1524683.69679079 
  1.7500e-13           79.80437895            0.00000000        4212.20199246     -1572349.50514124     -1568137.30314878 
  1.8000e-13           81.31244413            0.00000000        4291.80007008     -1616052.09342424     -1611760.29335416 
  1.8500e-13           82.63610884            0.00000000        4361.66519791     -1659894.28929727     -1655532.62409935 
  1.9000e-13           83.79134657            0.00000000        4422.64048185     -1703858.28580766     -1699435.64532580 
  1.9500e-13           84.79858291            0.00000000        4475.80401746     -1747928.44044708     -1743452.63642962 
  2.0000e-13           85.68144269            0.00000000        4522.40275984     -1792091.61256425     -1787569.20980441 
  2.0500e-13           86.46553509            0.00000000        4563.78840335     -1836337.37232760     -1831773.58392425 
  2.1000e-13           87.17731089            0.00000000        4601.35706140     -1880658.08883671     -1876056.73177532 
  2.1500e-13           87.84302482            0.00000000        4636.49450105     -1925048.90850322     -1920412.41400217 
  2.2000e-13           88.48783405            0.00000000        4670.52855763     -1969507.63809332     -1964837.10953568 
  2.2500e-13           89.13505817            0.00000000        4704.69007530     -2014034.54953930     -2009329.85946400 
  2.3000e-13           89.80561771            0.00000000        4740.08327404     -2058632.12544825     -2053892.04217420 
  2.3500e-13           90.51765739            0.00000000        4777.66586027     -2103304.76488023     -2098527.09901996 
  2.4000e-13           91.28634754            0.00000000        4818.23854870     -2148058.46830052     -2143240.22975182 
  2.4500e-13           92.12384590            0.00000000        4862.44304339     -2192900.51868888     -2188038.07564550 
  2.5000e-13           93.03939217            0.00000000        4910.76703115     -2237839.17286902     -2232928.40583788 
  2.5500e-13           94.03950248            0.00000000        4963.55444312     -2282883.37360174     -2277919.81915862 
  2.6000e-13           95.12822919            0.00000000        5021.01916951     -2328042.48932648     -2323021.47015697 
  2.6500e-13           96.30745451            0.00000000        5083.26055698     -2373326.08507297     -2368242.82451599 
  2.7000e-13           97.57719210            0.00000000        5150.27932555     -2418743.72532721     -2413593.44600167 
  2.7500e-13           98.93587816            0.00000000        5221.99293579     -2464304.80769869     -2459082.81476290 
  2.8000e-13          100.38064127            0.00000000        5298.24982956     -2510018.42509347     -2504720.17526391 
  2.8500e-13          101.90754587            0.00000000        5378.84228184     -2555893.25359123     -2550514.41130939 
  2.9000e-13          103.51180814            0.00000000        5463.51779491     -2601937.46310292     -2596473.94530801 
